,erro_loc,lat,lat_pred,lon,lon_pred,pontoId
1295,150.12367558509888,-8.074384,-8.073087483050848,-34.89373,-34.89410894915254,561
1296,130.4331519468638,-8.07255,-8.073705347457626,-34.892063,-34.892265898305084,916
1297,143.44718355280477,-8.068071,-8.069071364406778,-34.892181,-34.89300311864407,2085
1298,27.242293723305817,-8.073273,-8.073396415254237,-34.900589000000004,-34.900375322033895,723
1299,605.9916140008243,-8.066477,-8.069998161016947,-34.895439,-34.89963810169492,2300
1300,467.86463409933975,-8.075727,-8.076794669491527,-34.899952,-34.90406142372882,351
1301,567.305602241552,-8.071679,-8.072160686440679,-34.900776,-34.905904474576275,1093
1302,16.923449346783144,-8.064489,-8.064437381355932,-34.894333,-34.894477559322034,2609
1303,56.045665932248674,-8.069018,-8.068762432203389,-34.895882,-34.8963206101695,1808
1304,68.2326718112607,-8.069649,-8.069071364406778,-34.889477,-34.889685627118645,1566
1305,32.17210975129942,-8.076347,-8.076176805084746,-34.895451,-34.89521477966102,231
1306,177.05111997298982,-8.066951,-8.06629097457627,-34.894489,-34.895952,2223
1307,9.246887489972961,-8.063272,-8.063201652542372,-34.886692,-34.88673674576271,2775
1308,872.9997548567941,-8.064,-8.062274855932202,-34.894484999999996,-34.90221837288136,2663
1309,100.92572153073863,-8.070392,-8.07123388983051,-34.893345000000004,-34.89300311864407,1347
1310,47.061555449449315,-8.076372000000001,-8.076794669491527,-34.895603,-34.895583389830506,227
1311,29.085087134223855,-8.068402,-8.06814456779661,-34.889732,-34.889685627118645,2039
1312,146.73271505369777,-8.075422,-8.074632144067795,-34.896282,-34.89521477966102,424
1313,80.16916664115007,-8.076431,-8.076176805084746,-34.896008,-34.896689220338985,194
1314,96.59348798163624,-8.064888999999999,-8.065364177966101,-34.894112,-34.89484616949153,2574
1315,40.27244334841365,-8.069116000000001,-8.068762432203389,-34.888290000000005,-34.88821118644068,1778
1316,296.15966653898266,-8.062437,-8.060730194915253,-34.887695,-34.88563091525424,2837
1317,1546.6195267423193,-8.075764999999999,-8.064746313559322,-34.893829,-34.885262305084744,344
1318,178.18334642731594,-8.069336999999999,-8.070924957627117,-34.900589000000004,-34.900375322033895,1687
1319,275.3510697030986,-8.074536,-8.073705347457626,-34.890198,-34.88784257627118,532
1320,12.907091730233095,-8.064062,-8.064128449152541,-34.885727,-34.88563091525424,2651
1321,352.61247730865426,-8.060903,-8.063819516949152,-34.905018,-34.90627308474576,2913
1322,168.20298724150894,-8.065285000000001,-8.065364177966101,-34.897007,-34.89853227118644,2524
